plant,genotype
J30,m82
F15,IL_10.2.2
I32,IL_4.2
F30,m82
C35,IL_7.4.1
K15,IL_2.2
G25,IL_4.3
S39,IL_3.2
P5,IL_1.3
P36,IL_9.1.3
J40,IL_5.4
F18,IL_9.1
R7,IL_9.1.3
E23,IL_9.1.3
T20,IL_12.3
N22,IL_1.1
C5,IL_3.5
A24,IL_3.4
O36,IL_9.1
C11,IL_1.4.18
Q16,IL_9.1
O39,IL_1.1
P38,IL_3.2
K10,IL_9.1.2
G12,IL_3.2
N36,IL_3.2
K40,IL_7.5
A36,IL_3.3
F20,IL_2.6
M10,IL_1.1.3
D40,IL_5.4
C25,IL_9.1.3
F36,IL_7.5.5
L21,IL_6.1
S3,IL_3.3
B36,IL_5.4
G21,IL_5.2
M32,IL_6.3
D3,IL_2.6.5
C6,IL_9.2
A38,IL_1.1
B24,IL_3.2
F26,IL_9.2
H20,IL_6.3
M4,IL_9.2
P33,IL_6.1
H34,IL_5.3
P16,IL_9.1.2
S8,IL_1.1
T30,IL_9.3
B34,IL_5.3
T9,IL_7.4.1
I20,IL_11.3
G13,IL_3.4
D9,IL_4.3
T19,IL_4.3.2
M24,IL_4.2
O7,IL_7.4.1
G39,IL_6.1
I8,IL_3.2
K19,IL_2.4
E22,IL_3.2
J15,IL_4.3
A8,IL_9.1.3
M18,IL_1.3
Q5,IL_5.5
I4,IL_10.1.1
S9,IL_9.1.3
R10,IL_4.3
M19,IL_9.1.2
T1,IL_9.2
K9,IL_5.4
H2,IL_10.1
L20,IL_4.4
N40,IL_8.3
E15,IL_6.1
P17,IL_5.3
E29,IL_5.3
M30,IL_5.3
I18,IL_11.4.1
H32,IL_1.1
B32,IL_1.4
J2,IL_9.1
S38,IL_2.4
B3,IL_12.3
K21,IL_4.3.2
M14,IL_10.1.1
Q7,IL_2.4
M25,IL_8.2.1
P18,IL_11.4
B8,IL_5.2
A28,IL_12.1
D16,m82
J16,IL_2.4
H1,IL_1.4.18
G18,IL_2.4
I22,IL_11.4
T29,IL_6.3
E30,IL_5.4
J21,IL_6.2
F17,IL_7.1
P12,IL_8.1.1
M34,IL_7.5.5
S20,IL_1.1.3
F40,IL_1.1
S1,IL_2.2
R39,IL_1.3
P9,IL_6.2
F28,IL_4.3
G28,IL_12.4.1
Q31,IL_7.1
C34,IL_8.1
Q1,IL_3.2
T31,m82
J19,IL_1.1
N14,IL_6.2
A5,IL_10.1
N23,IL_2.3
Q14,IL_5.4
M40,IL_9.1.3
I9,IL_9.1.3
C28,IL_3.1
B17,IL_6.2
G30,IL_1.1.2
B15,IL_9.2
R35,IL_12.3.1
C16,IL_1.4
R12,IL_1.1.3
C32,IL_9.1
A22,IL_11.1
O16,IL_9.2
Q8,IL_2.3
E39,IL_12.1
B37,IL_9.1.2
C30,IL_5.2
H27,IL_9.1.2
E2,IL_9.1.2
K36,IL_8.1.1
K7,IL_9.2
A19,IL_10.1.1
R34,IL_3.3
K16,IL_2.5
T35,m82
G6,IL_10.2
S19,IL_4.2
A9,IL_12.3.1
T15,IL_9.1.2
P27,IL_5.4
J36,IL_9.2.6
M38,IL_9.1
Q11,IL_5.3
T5,IL_8.3.1
E14,IL_1.4
A3,m82
I16,IL_5.2
F13,IL_1.1.3
G7,IL_4.3.2
N10,IL_3.4
L19,IL_9.1
O25,IL_1.4
Q28,IL_12.2
H10,IL_5.4
B33,IL_1.1.2
S14,IL_1.1.2
L5,IL_3.2
Q29,IL_6.2
G2,IL_7.1
L36,IL_7.1
S25,IL_3.1
I40,IL_8.1.1
K33,IL_3.4
O19,IL_6.4
H3,IL_10.2.2
P26,IL_9.3.2
A2,IL_2.2
G8,IL_9.2
N6,IL_10.1
R20,IL_3.5
Q40,IL_7.2
H17,IL_8.1.1
P30,m82
D37,IL_9.1.2
E17,IL_5.2
K28,IL_8.3
E19,IL_9.2.6
S17,IL_12.2
R5,IL_9.2
F5,IL_7.5
N28,IL_9.3.2
P2,IL_2.2
R36,IL_9.3
P28,IL_12.3
S34,IL_5.3
A15,m82
D5,IL_11.2
H31,IL_7.4.1
P10,IL_12.4.1
Q9,IL_4.1
D33,IL_1.3
Q35,IL_12.4
G15,IL_11.2
T2,IL_1.3
S24,IL_1.2
J24,IL_8.2.1
D4,IL_4.4
C8,IL_1.1
P34,IL_1.1.3
E6,IL_9.3
H15,m82
C36,IL_2.4
O37,m82
G40,IL_6.2
D1,IL_2.6
K25,IL_7.3
B13,IL_12.2
Q23,IL_3.1
K35,IL_10.1
G22,IL_3.3
P3,IL_7.5
S7,IL_1.4
H39,IL_1.2
T32,IL_3.5
L25,IL_3.5
Q24,IL_2.1.1
C26,IL_2.2
J1,IL_12.3.1
